"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"City","Glendale","Glendale","AZ","Phoenix, AZ","""Phoenix-Mesa-Scottsdale, AZ""",74,8.39843037050557,87.55,4.9757,0.7853,218200,0.599354541263255,8.77367896311067,0.0353941338221815,,0.101096781098942,0.0207089081777413,61
"City","Durham","Durham","NC","Durham, NC","""Durham-Chapel Hill, NC""",75,7.27231246577843,96.27,,,192300,0.575313807531381,7.97304884896126,0.0424440977639104,,0.0786108811208942,0.0190005262925948,53
"City","Orlando","Orlando","FL","Orlando, FL","""Orlando-Kissimmee-Sanford, FL""",76,8.12648293484212,82.48,,,172300,0.819192510239906,10.8038585209003,0.0483749274521184,,0.113405337754631,0.0517434833553332,77
"City","Norfolk","Norfolk","VA","Virginia Beach, VA","""Virginia Beach-Norfolk-Newport News, VA-NC""",77,0.780251870779339,77.65,7.6304,11.8873,181700,0.331308669243512,3.23863636363636,0.0200330214639515,,0.218210970669931,0.0436103316579032,92
"City","Saint Petersburg","Saint Petersburg","FL","Tampa, FL","""Tampa-St. Petersburg-Clearwater, FL""",78,7.61726592443877,90.99,,,185800,0.37817396002161,13.0858186244674,0.0471420882669538,,0.0910062475345943,0.0757310417903341,74
"City","Pensacola","Pensacola","FL","Pensacola, FL","""Pensacola-Ferry Pass-Brent, FL""",79,7.04964409563789,91.67,,,135500,0.668647845468053,10.8837970540098,0.0438081180811809,,0.127492511169571,0.0629028878296731,85
"City","Fort Wayne","Fort Wayne","IN","Fort Wayne, IN","""Fort Wayne, IN""",80,2.67840846869867,100,,,100100,-0.0998003992015968,5.81395348837209,0.0305094905094905,,0.0873007243285061,0.0451316493097489,56
"City","Greensboro","Greensboro","NC",,,81,2.50958204051834,82.93,,,130800,0.615384615384615,5.9967585089141,,,0.101041387522997,0.0415405225752769,64
"City","Lincoln","Lincoln","NE","Lincoln, NE","""Lincoln, NE""",82,8.98430370505567,95.06,1.803,2.0353,165000,0.671140939597315,7.98429319371728,0.0382424242424242,,0.0605387606016615,0.00853634270931968,56
"City","San Bernardino","San Bernardino","CA","Riverside, CA","""Riverside-San Bernardino-Ontario, CA""",83,6.44278152947618,92.44,4.9184,2.8815,257900,0.506625097427903,7.14582467802243,0.0527646374563784,,0.113749656644488,0.0598209539132648,70
"City","Corona","Corona","CA","Riverside, CA","""Riverside-San Bernardino-Ontario, CA""",84,7.50228143821865,91.67,4.8015,1.3078,449300,0.559534467323187,5.1978459377195,0.0462252392610727,,0.0838357378505762,0.040108949760023,61
"City","Chula Vista","Chula Vista","CA","San Diego, CA","""San Diego-Carlsbad, CA""",85,6.91732067895601,88.14,3.7086,1.4906,502100,0.339728217426059,9.00998697351281,0.0337363075084645,,0.076218003890687,0.0352703755241686,53
"City","Chesapeake","Chesapeake","VA","Virginia Beach, VA","""Virginia Beach-Norfolk-Newport News, VA-NC""",86,1.03486037598102,78.52,4.499,6.0328,249200,-0.399680255795364,2.1730217302173,0.019129213483146,,0.112714175019725,0.038328352498308,81
"City","Hialeah","Hialeah","FL","Miami-Fort Lauderdale, FL","""Miami-Fort Lauderdale-West Palm Beach, FL""",87,8.67220295674393,89.66,,,239800,0.968421052631579,13.9192399049881,0.0379482902418682,,0.124713519785603,0.050393779078759,110
"City","Madison","Madison","WI","Madison, WI","""Madison, WI""",88,9.09746304070086,93.23,1.6149,0.335,234900,0.556506849315068,7.95036764705882,0.033742017879949,,0.0603028117928905,0.0133907933537339,62
"City","Fontana","Fontana","CA","Riverside, CA","""Riverside-San Bernardino-Ontario, CA""",89,7.56889943420332,91.4,5.4964,1.7319,354700,0.65266742338252,5.62835020845742,0.0465322808006767,,0.087184965457187,0.0483991668934845,68
"City","Fort Myers","Fort Myers","FL","Fort Myers, FL","""Cape Coral-Fort Myers, FL""",90,6.32049644095638,85.71,,,204000,0.393700787401575,2.46107483676544,0.0315098039215687,,0.0817515498413768,0.0298421036391305,125
"City","Knoxville","Knoxville","TN","Knoxville, TN","""Knoxville, TN""",91,7.87734988136521,,,,130300,0.695517774343122,6.71580671580672,0.0483883346124327,,0.0985011835564876,0.0163078082914302,65
"City","Laredo","Laredo","TX","Laredo, TX","""Laredo, TX""",92,7.25679868589159,100,,,122100,0.0819672131147541,1.8348623853211,0.0396560196560196,,,,82
"City","North Las Vegas","North Las Vegas","NV","Las Vegas, NV","""Las Vegas-Henderson-Paradise, NV""",93,4.24164993611973,78.61,10.4942,2.2342,216300,1.21665886757136,12.9503916449086,0.0632963476652797,,0.192244960470019,0.0627579617000458,56
